2930.45 4.60379e-27  1.41688e-28 0 6.23374e-17  6.23374e-17 1.10502e-16
2863.61 4.58806e-27  1.44654e-28 0 6.16984e-17  6.16984e-17 1.11777e-16
2798.3 4.57233e-27  1.47682e-28 0 6.1034e-17  6.1034e-17 1.13057e-16
2734.47 4.5566e-27  1.50772e-28 0 6.03445e-17  6.03445e-17 1.14348e-16
2672.11 4.54087e-27  1.53926e-28 0 5.96303e-17  5.96303e-17 1.15648e-16
2611.16 4.52514e-27  1.57146e-28 1.64523e-21 5.88919e-17  5.88935e-17 1.16953e-16
2551.61 4.50941e-27  1.60431e-28 1.53521e-21 5.81295e-17  5.81311e-17 1.18282e-16
2493.41 4.49368e-27  1.63785e-28 1.43254e-21 5.73439e-17  5.73453e-17 1.19594e-16
2436.54 4.47795e-27  1.67207e-28 1.33674e-21 5.65354e-17  5.65367e-17 1.2093e-16
2380.97 4.46222e-27  1.707e-28 1.24735e-21 5.57047e-17  5.5706e-17 1.2227e-16
2326.66 4.44649e-27  1.74265e-28 1.16393e-21 5.48525e-17  5.48536e-17 1.23617e-16
2273.6 4.43076e-27  1.77903e-28 1.08609e-21 5.39793e-17  5.39804e-17 1.24987e-16
2221.74 4.41503e-27  1.81616e-28 1.01346e-21 5.3086e-17  5.3087e-17 1.26344e-16
2171.07 4.3993e-27  1.85406e-28 9.45685e-22 5.21732e-17  5.21741e-17 1.27708e-16
2121.55 4.38357e-27  1.89273e-28 8.82442e-22 5.12418e-17  5.12427e-17 1.29121e-16
2073.16 4.36784e-27  1.9322e-28 8.23429e-22 5.02927e-17  5.02935e-17 1.30485e-16
2025.88 4.35211e-27  1.97248e-28 7.68362e-22 4.93267e-17  4.93275e-17 1.31888e-16
1979.67 4.33638e-27  2.01359e-28 7.16978e-22 4.83448e-17  4.83456e-17 1.33293e-16
1934.52 4.32065e-27  2.05555e-28 6.6903e-22 4.7348e-17  4.73487e-17 1.3471e-16
1890.4 4.30492e-27  2.09836e-28 6.24289e-22 4.63373e-17  4.6338e-17 1.36139e-16
1847.28 4.28919e-27  2.14205e-28 5.8254e-22 4.53138e-17  4.53144e-17 1.3754e-16
1805.15 4.27346e-27  2.18664e-28 5.43582e-22 4.42785e-17  4.4279e-17 1.39005e-16
1763.98 4.25773e-27  2.23214e-28 5.0723e-22 4.32325e-17  4.3233e-17 1.40452e-16
1723.74 4.242e-27  2.27858e-28 4.73309e-22 4.21772e-17  4.21776e-17 1.41901e-16
1684.43 4.22627e-27  2.32596e-28 4.41657e-22 4.11135e-17  4.1114e-17 1.43358e-16
1646.01 4.21054e-27  2.37432e-28 4.12121e-22 4.00428e-17  4.00433e-17 1.44844e-16
1608.47 4.19481e-27  2.42367e-28 3.84561e-22 3.89664e-17  3.89668e-17 1.46295e-16
1571.78 4.17908e-27  2.47402e-28 3.58843e-22 3.78854e-17  3.78858e-17 1.47776e-16
1535.93 4.16335e-27  2.52541e-28 3.34846e-22 3.68012e-17  3.68016e-17 1.49262e-16
1500.9 4.14762e-27  2.57785e-28 3.12453e-22 3.57151e-17  3.57154e-17 1.50766e-16
1466.67 4.13189e-27  2.63136e-28 2.91558e-22 3.46284e-17  3.46287e-17 1.52291e-16
1433.22 4.11616e-27  2.68596e-28 2.7206e-22 3.35425e-17  3.35428e-17 1.53777e-16
1400.53 4.10043e-27  2.74167e-28 2.53866e-22 3.24586e-17  3.24589e-17 1.55306e-16
1368.59 4.0847e-27  2.79853e-28 2.36888e-22 3.13782e-17  3.13784e-17 1.56814e-16
1337.37 4.06897e-27  2.85654e-28 2.21047e-22 3.03026e-17  3.03028e-17 1.58344e-16
1306.87 4.05324e-27  2.91573e-28 2.06264e-22 2.9233e-17  2.92332e-17 1.59886e-16
1277.06 4.03752e-27  2.97614e-28 1.9247e-22 2.81709e-17  2.81711e-17 1.61425e-16
1247.94 4.02179e-27  3.03777e-28 1.79599e-22 2.71176e-17  2.71178e-17 1.62999e-16
1219.47 4.00606e-27  3.10066e-28 1.67588e-22 2.60743e-17  2.60745e-17 1.64527e-16
1191.66 3.99033e-27  3.16483e-28 1.56381e-22 2.50423e-17  2.50425e-17 1.6609e-16
1164.48 3.9746e-27  3.2303e-28 1.45923e-22 2.4023e-17  2.40231e-17 1.67672e-16
1137.92 3.95887e-27  3.29711e-28 1.36164e-22 2.30174e-17  2.30175e-17 1.69229e-16
1111.97 3.94314e-27  3.36527e-28 1.27058e-22 2.20268e-17  2.20269e-17 1.70803e-16
1086.61 3.92741e-27  3.43482e-28 1.18561e-22 2.10524e-17  2.10525e-17 1.72393e-16
1061.82 3.91169e-27  3.50578e-28 1.10632e-22 2.00952e-17  2.00953e-17 1.73979e-16
1037.61 3.89596e-27  3.57818e-28 1.03234e-22 1.91563e-17  1.91564e-17 1.75573e-16
1013.94 3.88023e-27  3.65205e-28 9.63302e-23 1.82367e-17  1.82368e-17 1.77173e-16
990.814 3.8645e-27  3.72742e-28 8.98881e-23 1.73374e-17  1.73375e-17 1.78777e-16
968.215 3.84877e-27  3.80432e-28 8.38769e-23 1.64592e-17  1.64593e-17 1.8039e-16
946.132 3.83305e-27  3.88277e-28 7.82676e-23 1.5603e-17  1.56031e-17 1.82028e-16
924.553 3.81732e-27  3.96281e-28 7.30335e-23 1.47696e-17  1.47697e-17 1.83626e-16
903.466 3.80159e-27  4.04448e-28 6.81494e-23 1.39596e-17  1.39597e-17 1.85244e-16
882.86 3.78586e-27  4.12779e-28 6.35919e-23 1.31737e-17  1.31738e-17 1.86876e-16
862.724 3.77014e-27  4.21279e-28 5.93392e-23 1.24125e-17  1.24125e-17 1.88498e-16
843.047 3.75441e-27  4.29951e-28 5.53709e-23 1.16763e-17  1.16764e-17 1.90163e-16
823.819 3.73868e-27  4.38798e-28 5.1668e-23 1.09657e-17  1.09658e-17 1.91788e-16
805.029 3.72295e-27  4.47823e-28 4.82127e-23 1.0281e-17  1.0281e-17 1.93447e-16
786.668 3.70723e-27  4.57031e-28 4.49885e-23 9.62234e-18  9.62239e-18 1.9508e-16
